FACE_ID,Date,Start_Time,Batch_Number,Fines_kg,Fines_Moisture_,Coarse_kg,Coarse_Moisture_,Cement_kg,Water_kg,Cement:Water_Ratio,Cubic_M,Superplasticiser_kg,Accelerator_,Fibre_kg,Additive_1_kg,Add_1_Fines_kg,Add_1_Coarse_kg,Add_1_Cement_kg,Add_1_Water_kg,Add_1_Superplasticiser_kg,Add_2_Fines_kg,Add_2_Coarse_kg,Add_2_Cement_kg,Add_2_Water_kg,Add_2_Superplasticiser_kg
RUP_1075_662_DEC_26,2022-12-03,21:45:00,2.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,16.0,7.0,8.0,,,,,120.0,,,,,90.0,
RUP_1075_662_DEC_26,2022-12-03,22:30:00,3.0,4000.0,,2000.0,,1800.0,480.0,0.26666666666666666,3.3155795148247975,16.0,7.0,8.0,,,,,50.0,2.0,,,,50.0,2.0
RUP_1075_662_DEC_27,2022-12-04,15:30:00,1.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,20.0,7.5,8.0,,,,,100.0,,,,,150.0,
RUP_1000_818_DEC_06,2022-12-04,03:55:00,1.0,4000.0,,2000.0,,1800.0,560.0,0.3111111111111111,3.3955795148247976,12.0,,8.0,,,,,,,,,,,
RUP_1000_818_DEC_06,2022-12-04,04:47:00,2.0,4000.0,,2000.0,,1800.0,270.0,0.15,3.1055795148247975,12.0,,8.0,,,,,,,,,,,
RUP_1000_818_DEC_07,2022-12-05,18:40:00,1.0,4000.0,,2000.0,,1800.0,450.0,0.25,3.285579514824798,16.0,5.0,8.0,,100.0,,,,,,,,,
RUP_1075_662_DEC_27,2022-12-05,17:35:00,2.0,4000.0,,2000.0,,1800.0,450.0,0.25,3.285579514824798,14.0,3.5,8.0,,,,,,,,,,,
RUP_1075_662_DEC_27,2022-12-06,19:20:00,3.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,16.0,5.0,8.0,,,,,,,,,,,
RUP_1075_662_DEC_27,2022-12-06,20:30:00,4.0,2000.0,,1000.0,,900.0,200.0,0.2222222222222222,1.6177897574123992,8.0,5.0,4.0,,,,,,,,,,,
RUP_1000_818_DEC_07,2022-12-06,22:00:00,1.0,3000.0,,1500.0,,1350.0,300.0,0.2222222222222222,2.426684636118598,12.0,3.5,6.0,,,,,,,,,,,
RUP_1075_662_DEC_27,2022-12-07,08:30:00,1.0,4000.0,,2000.0,,1800.0,530.0,0.29444444444444445,3.3655795148247982,12.0,4.0,8.0,,,,,,,,,,,
RUP_1075_662_DEC_27,2022-12-07,13:00:00,2.0,3000.0,,1500.0,,1390.0,420.0,0.302158273381295,2.559383048817011,9.0,3.5,6.0, ,,,,,,,,,,
RUP_1000_818_DEC_07,2022-12-08,06:15:00,1.0,3000.0,,1500.0,,1350.0,300.0,0.2222222222222222,2.426684636118598,12.0,4.0,6.0,,,,,,,,,,,
RUP_1075_662_DEC_27,2022-12-08,12:30:00,1.0,3000.0,,2000.0,,1800.0,400.0,0.2222222222222222,2.85822102425876,16.0,3.5,8.0,,,,,,,,,,,
RUP_1075_662_DEC_27,2022-12-08,13:45:00,2.0,4000.0,,2000.0,,1800.0,415.0,0.23055555555555557,3.250579514824798,16.0,3.5,8.0,,,,,,,,,,,
RUP_1075_662_DEC_27,2022-12-08,14:40:00,3.0,4000.0,,2000.0,,1800.0,300.0,0.16666666666666666,3.135579514824798,16.0,3.5,8.0,,,,,100.0,,,,,30.0,
RUP_1075_662_DEC_28,2022-12-09,17:55:00,1.0,4000.0,,2000.0,,1800.0,550.0,0.3055555555555556,3.385579514824798,12.0,5.0,8.0,,,,,,,,,,,
RUP_1075_662_DEC_28,2022-12-10,01:15:00,2.0,4000.0,,2000.0,,1800.0,500.0,0.2777777777777778,3.335579514824798,12.0,3.5,8.0,,,,,,,,,,,
RUP_1075_662_DEC_28,2022-12-10,02:00:00,3.0,2000.0,,1000.0,,900.0,170.0,0.18888888888888888,1.587789757412399,6.0,3.5,2.0,,,,,,,,,,,
RUP_1000_818_DEC_09,2022-12-10,06:15:00,1.0,3000.0,,1000.0,,1350.0,300.0,0.2222222222222222,2.2380053908355793,12.0,6.0,6.0,,,,,,,,,60.0,,
RUP_1075_662_DEC_28,2022-12-10,21:20:00,2.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,12.0,4.0,8.0,,,,,100.0,,,,,,
RUP_1075_662_DEC_28,2022-12-11,01:30:00,3.0,2000.0,,1000.0,,900.0,170.0,0.18888888888888888,1.587789757412399,6.0,,2.0,,,,,,,,,,,
RUP_1075_662_DEC_29,2022-12-11,17:30:00,1.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,16.0,4.0,8.0,,,,,,,,,,,
RUP_1000_818_DEC_11,2022-12-12,02:30:00,1.0,4200.0,,1500.0,,1800.0,370.0,0.20555555555555555,3.0923719676549863,16.0,,8.0,,,,,,,,,,,
RUP_1075_662_DEC_29,2022-12-12,08:00:00,2.0,4000.0,,2000.0,,1800.0,480.0,0.26666666666666666,3.3155795148247975,16.0,,8.0,,,,,,,,,,,
RUP_1075_662_DEC_29,2022-12-12,12:10:00,3.0,4000.0,,2000.0,,1800.0,480.0,0.26666666666666666,3.3155795148247975,16.0,,8.0,,,,,,,,,,,
